id,ccn,incident_date_time,time_spread,org_id,org_name,tipsoft_id,incident_type_id,incident_type_name,incident_type_pinnable,lng,lat,public_narrative,processing_level,address,description,agency_page_link
214875238,"13-2180546","2013-08-05T06:00:41Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.808048,42.868831,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"100 Block WEIMAR ST","LARCENY/THEFT",
341117250,"13-331308","2013-08-05T07:00:00Z",0,92604,"Cheektowaga Town Police Department",512,103,"[CPD]-GRAND LARCENY 4TH",true,-78.747626,42.868623,"GRAND LARCENY 4TH",3,"100 Block FRENCH RD",,
341117241,"13-331236","2013-08-05T09:00:00Z",0,92604,"Cheektowaga Town Police Department",512,100,"[CPD]-BURGLARY 2ND",true,-78.748515,42.864662,"BURGLARY 2ND",3,"100 Block GARDENVILLAGE DR",,
341118853,"13-340956","2013-08-05T12:00:00Z",0,92604,"Cheektowaga Town Police Department",512,97,"[CPD]-SEX OFFENDER RESIDENCY PROHIBITION",true,-78.724279,42.867825,"SEX OFFENDER RESIDENCY PROHIBITION",3,"800 Block FRENCH RD",,
214874896,"13-2180326","2013-08-05T10:00:00Z",0,718,"Buffalo Police Department",0,103,"LARCENY/THEFT",true,-78.810599,42.832195,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"300 Block DORRANCE AV","LARCENY/THEFT",
218188442,"13-350808","2013-08-06T12:00:00Z",0,11841,"Amherst Police Department",0,148,"-RAPE 3RD",true,-78.791422,42.975613,"RAPE 3RD",3,"500 Block JJ AUDUBON PW","1892",
214860710,"13-349853","2013-08-06T18:30:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.821113,42.985805,"PETIT LARCENY",3,"1200 Block NIAGARA FALLS BLVD","1892",
214860709,"13-349876","2013-08-06T20:40:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.821113,42.985805,"PETIT LARCENY",3,"1200 Block NIAGARA FALLS BLVD","1892",
214860713,"13-349780","2013-08-06T12:45:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.81176499999999,42.981991,"PETIT LARCENY",3,"3200 Block SHERIDAN DR","1892",
214860712,"13-349832","2013-08-06T16:40:00Z",0,11841,"Amherst Police Department",0,103,"-PETIT LARCENY",true,-78.82053999999999,42.99924,"PETIT LARCENY",3,"1600 Block NIAGARA FALLS BLVD","1892",
214875248,"13-2180778","2013-08-06T06:47:08Z",0,718,"Buffalo Police Department",0,149,"ASSAULT",true,-78.902417,42.94689,"Buffalo Police are investigating this report of a crime. It is important to note that this is very preliminary information and further investigation a...",3,"300 Block TONAWANDA ST","ASSAULT",
